track_id,track_name,track_artist,track_popularity,track_album_release_date,playlist_name,playlist_id,danceability,energy,valence
24QILcvVKyxSZVJ2jI1ZPg,O Saathi Re,Kishore Kumar,0,1996,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.29,0.529,0.462
1mApmPXBsLVpkSkt2aKep0,Yeh Zindagi Usiki Hai - Anarkali Soundtrack,Various Artists,0,2009-12-28,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.438,0.28,0.798
12JCXQRkAIGP3fbDHtQxzD,Chaudhvin Ka Chand,Mohammed Rafi,0,2004-09-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.31,0.213,0.543
7hMPmlTjA6os2k2f4iNgJX,Kasmen Wade Pyar Wafa (1968),Various Artists,0,2007-08-14,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.353,0.345,0.371
61sRvpoIApbRfFLmnENjve,Yeh Mera Dil,Various Artists,0,2005-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.487,0.59,0.473
5sETCgjWnRx1ZGZGQX8WKS,O Mere Sona Re Sona,Various Artists,0,1957-12-31,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.659,0.468,0.882
5FLGB04Lf5MdgsaKCzD30t,Kabhi Aar Kabhi Paar,"Geeta Dutt, Shamshad Begum, Mohd. Rafi",0,2004-06-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.673,0.734,0.901
4kgn4E5IvDyxf3G7sR0pk6,MERI BINDIYA,Various Artists,0,1989-12-31,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.433,0.722,0.667
54BXPZrabCS0mgJXlzdnpU,Mere Samnewali Khidki Mein,Various Artists,0,2010-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.705,0.591,0.768
2HHcEmmIKWZ8pp3zUJTvkv,Pukarta Chala Hoon,Various Artists,0,2005-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.614,0.412,0.626
4qFcEOeNeH8EwOSvu2d90e,Pyar Hua Iqrar Hua,Shankar Jaikishan,0,2009-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.467,0.471,0.766
1rTZG5aDi7BD6riNesf5Lg,Mera Joota Hai Japani (1955),Various Artists,0,2007-08-14,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.765,0.569,0.965
1SCCBmF6LucKLNpMJKopvO,Goom Hai Kisi Ke Pyar Mein (1972),Various Artists,0,2007-08-14,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.598,0.312,0.62
1wTiollBhRPb7LautWIHfo,Ek Ladki Bheegi Bhagi Si,Kishore Kumar,0,2009-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.626,0.476,0.842
1bN9JVsJFX5pZS85d22iCo,Tere Mere Milan Ki Yeh Raina,Kishore Kumar,0,2007-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.283,0.482,0.578
10M3KiRbSAn1849UM626BF,Intaha Ho Gai Intezar Ki,Kishore Kumar,0,2007-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.413,0.49,0.404
7dAwelhlyQkIA3KDeWIqGt,Rang Barse Bheege Chunarwali,Shiv Hari,0,1981-05-18,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.648,0.5,0.596
1k21KAedv6hoz3pq0XPk6N,Laila O Laila - Qurbani / Suondtrack Version,Various Artists,0,1980,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.655,0.537,0.808
3qfryX8xMGWgCspz7qKs8x,Roop Tera Mastana,Various Artists,0,1989-05-06,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.459,0.48,0.563
589V53bqH0F0gFeIkQMRRH,Mere Sapnon Ki Rani,Various Artists,0,1969-12-31,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.504,0.532,0.769
7xrB8PttetgSGlNY20DeIo,Kora Kagaz Tha Yeh Man Mera,Various Artists,0,1989-05-06,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.32,0.369,0.693
2g0TIg8y4Mfoz2tMGqTfL1,Tere Ghar Ke Samne,S. D. Burman,0,2004-03-24,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.466,0.554,0.654
6VGsdo0WVGiD5EpKOjpFE3,"Dum Maro Dum Mit Jaye Gham - From ""Hare Rama Hare Krishna""",Asha Bhosle,0,2013-03-05,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.491,0.548,0.446
0Ke4YAP2BNhXQ4a7VpfLu8,Pardah Hai Pardah - Amar Akbar Anthony / Soundtrack Version,Various Artists,9,1981,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.393,0.744,0.584
3tVFo98BNvCegAt05AgwOa,Jimmy Jimmy Jimmy Aaja,Bappi Lahiri,0,1982-12-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.86,0.545,0.723
4H54zzpljpcr525Fbip9YN,"Dil Cheez Kya Hai - From ""Umrao Jaan""",Asha Bhosle,0,2015-04-06,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.459,0.652,0.519
6GWWLpu5i8cgDP1htqy531,"Chalte Chalte Yun Hi Koi - From ""Pakeezah""",Lata Mangeshkar,0,2014-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.447,0.427,0.575
192lgCrMPO5MnLhKUZv0Sm,Piya Tuu Ab To Aaja,R. D. Burman,0,2007-09-11,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.492,0.576,0.425
5ZOc5jaiDgsk6nGvOSXATH,"Aap Jaisa Koi - From ""Qurbani""",Various Artists,12,2014-09-24,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.712,0.529,0.962
0vMJwNHrHkc6lAjOyOCJeC,"Ho Pardesia - From ""Mr. Natwarlal""",Lata Mangeshkar,0,2016-09-22,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.444,0.654,0.696
1touytqcBn0VUt7xmQGQRE,"Khoya Khoya Chand Khula Aasman - From ""Kala Bazar""",Mohammed Rafi,0,2015-12-17,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.497,0.549,0.74
5R1xalK5So0MzDVtWHCTGC,"Baar Baar Dekho Hazar Baar Dekho - From ""China Town""",Mohammed Rafi,0,2015-12-17,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.534,0.525,0.876
1MuD8fSzjCloY9bUVXVLkl,"Kya Hua Tera Vada - From ""Hum Kisise Kum Naheen""",Mohammed Rafi,0,2015-12-17,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.498,0.455,0.646
0QmHlC1k7PnMhWHoUjbaEl,Pyar Kiya To Darna Kya - Mugal E Azam Soundtrack,Various Artists,0,2009-12-28,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.433,0.313,0.903
6mneUGlLoeoMbDx2D5J7t7,"Chura Liya Hai Tumne Jo Dil Ko - From ""Yaadon Ki Baaraat""",Mohammed Rafi,0,2014-11-12,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.559,0.318,0.684
6tsqUfd89LVm84A94QNxcq,Tere Chehre Se Nazar Nahin,Various Artists,0,2009-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.489,0.418,0.637
